cell,cell_life,minimum_dQ_100_10,variance_dQ_100_10,skewness_dQ_100_10,kurtosis_dQ_100_10,Slope_Cap_Fade_2_100,Intercept_Cap_Fade_2_100,Discharge_Cap_2,Diff_MaxCap_DC2,Avg_charge_time,Temp_Integ_2_100,Min_IR,Diff_IR_2_100
b1c0,1852.000000,-2.050261,-5.051527,-0.138643,-0.040960,-0.000207,1.091144,1.071900,0.006393,13.374894,41876.171150,0.016444,-0.000075
b1c1,2160.000000,-2.045150,-5.135776,-0.499000,0.016426,0.000006,1.080965,1.076612,0.007977,13.409150,41484.509937,0.016764,-0.000042
b1c2,2237.000000,-1.986994,-4.951883,-0.359039,0.069572,0.000010,1.084846,1.081315,0.006738,13.358242,41694.991899,0.016613,-0.000014
b1c3,1434.000000,-1.703321,-4.386348,-0.322093,0.050851,0.000017,1.084075,1.081228,0.005025,12.025140,35729.237342,0.016098,0.000039
b1c4,1709.000000,-1.837397,-4.604779,-0.456945,0.133910,0.000019,1.081875,1.079012,0.005304,12.041851,37527.249169,0.016369,-0.000053
b1c5,1074.000000,-1.583636,-4.155832,-0.849869,0.076409,0.000011,1.079755,1.076653,0.005417,10.967850,46090.122378,0.015923,-0.000112
b1c6,636.000000,-1.414229,-3.771283,-0.405104,0.082792,-0.000005,1.081157,1.077260,0.004879,10.076479,32094.376025,0.016542,-0.000333
b1c7,870.000000,-1.428857,-3.821834,-0.510463,0.046264,-0.000006,1.097254,1.095110,0.002858,10.025082,31809.844240,0.016083,-0.000038
b1c9,1054.000000,-1.528095,-3.978645,-0.337653,0.080953,0.000018,1.086771,1.083686,0.005264,11.207956,36328.258164,0.016611,-0.000034
b1c11,788.000000,-1.598897,-4.099072,-0.217875,0.073224,0.000022,1.058972,1.055032,0.008207,11.668876,37893.500809,0.015963,-0.000304
b1c14,880.000000,-1.548154,-4.048739,-0.579260,0.113353,0.000026,1.074765,1.072108,0.005735,10.764334,48581.628702,0.016649,-0.000068
b1c15,719.000000,-1.540126,-4.025168,-0.331178,0.089238,0.000029,1.066175,1.062743,0.006595,10.797706,48631.500355,0.016543,-0.000253
b1c16,862.000000,-1.559428,-4.101591,-1.084881,0.092608,0.000023,1.085288,1.082385,0.006207,10.113108,32495.633730,0.016328,-0.000015
